1,#NAME?,Alexandra,Britt,Anaheim,#NAME?
2,#NAME?,Savannah,Torres,Los Angeles,#NAME?
3,#NAME?,Sophie,Watkins,Palo Alto,#NAME?
4,#NAME?,Adam,Anderson,Berkley,#NAME?
5,#NAME?,Parker,Scott,San Fransico,#NAME?
6,#NAME?,Julian,Morris,Newport Beach,#NAME?
7,#NAME?,Zoe,Young,Anaheim,#NAME?
8,#NAME?,Madelyn,Powell,Modesto,#NAME?
9,#NAME?,Emily,Hughes,Claremont,#NAME?
10,#NAME?,Jack,Martin,Santa Monica,#NAME?
11,#NAME?,Levi,O'Reilly,Santa Monica,#NAME?
12,#NAME?,Avery,Cook,Irvine,#NAME?
13,#NAME?,Noah,Ross,Santa Monica,#NAME?
14,#NAME?,Chloe,Fisher,Santa Cruz,#NAME?
15,#NAME?,Julia,Morgan,El Segundo,#NAME?
16,#NAME?,Sophia,Ward,Santa Monica,#NAME?
17,#NAME?,Lily,Paterson,El Segundo,#NAME?
18,#NAME?,Max,Reid,Fresno,#NAME?
19,#NAME?,Samuel,Thomas,Santa Monica,#NAME?
20,#NAME?,Alexander,Bennett,Palo Alto,#NAME?
21,#NAME?,Layla,Nguyen,Santa Monica,#NAME?
22,#NAME?,Brooklyn,Craig,San Fransico,#NAME?
23,#NAME?,James,Matthews,Palo Alto,#NAME?
24,#NAME?,Lillian,Patel,El Segundo,#NAME?
25,#NAME?,Aria,Campbell,Los Angeles,#NAME?
26,#NAME?,Benjamin,Cooper,Pasadena,#NAME?
27,#NAME?,Hannah,Khan,Oakland,#NAME?
28,#NAME?,Madison,Price,Santa Cruz,#NAME?
29,#NAME?,Kylie,Myers,Sacramento,#NAME?
30,#NAME?,Jacob,Mason,Bakersfield,#NAME?
31,#NAME?,Brayden,Cox,Santa Monica,#NAME?
32,#NAME?,Carter,Díaz,Los Angeles,#NAME?
33,#NAME?,Muhammad,Robinson,Palo Alto,#NAME?
34,#NAME?,Ethan,Jaffe,Santa Monica,#NAME?
35,#NAME?,Alex,Bell,Irvine,#NAME?
36,#NAME?,Matthew,Rees,San Diego,#NAME?
37,#NAME?,Caleb,Davies,San Jose,#NAME?
38,#NAME?,Mason,Reed,Berkley,#NAME?
39,#NAME?,Landon,Nelson,Santa Monica,#NAME?
40,#NAME?,Isabelle,López,El Segundo,#NAME?
41,#NAME?,Leah,Nova,Los Angeles,#NAME?
42,#NAME?,Miles,Roberts,Claremont,#NAME?
43,#NAME?,Stella,Watson,Cupertino,#NAME?
44,#NAME?,Eli,Hamilton,Santa Clara,#NAME?
45,#NAME?,Sarah,Thompson,Santa Monica,#NAME?
46,#NAME?,Annabelle,Callahan,Santa Monica,#NAME?
47,#NAME?,Dominic,Griffiths,San Fransico,#NAME?
48,#NAME?,John,Mitchell,Anaheim,#NAME?
49,#NAME?,Christopher,Foster,Palo Alto,#NAME?
50,#NAME?,Aiden,Baker,Santa Ana,#NAME?
51,#NAME?,Cooper,Graham,Los Angeles,#NAME?
52,#NAME?,Sadie,Tandy,Sacramento,#NAME?
53,#NAME?,Gabriel,Jenkins,Santa Monica,#NAME?
54,#NAME?,Ellie,Howard,Palo Alto,#NAME?
55,#NAME?,Logan,Pérez,Santa Monica,#NAME?
56,#NAME?,Evan,James,Irvine,#NAME?
57,#NAME?,Olivia,Sánchez,Long Beach,#NAME?
58,#NAME?,Henry,Lee,Los Angeles,#NAME?
59,#NAME?,Chase,Evans,El Segundo,#NAME?
